iter	Passed	Remaining
0	51	25845
1	110	27555
2	163	27148
3	224	27786
4	279	27641
5	337	27781
6	388	27377
7	449	27623
8	499	27244
9	552	27081
10	602	26765
11	653	26583
12	702	26318
13	751	26092
14	801	25908
15	856	25895
16	920	26151
17	976	26146
18	1040	26335
19	1092	26224
20	1144	26096
21	1191	25882
22	1239	25713
23	1291	25622
24	1339	25453
25	1392	25394
26	1440	25236
27	1489	25103
28	1537	24968
29	1585	24836
30	1635	24749
31	1684	24630
32	1733	24532
33	1782	24428
34	1832	24346
35	1880	24242
36	1930	24157
37	1979	24072
38	2031	24017
39	2081	23932
40	2138	23939
41	2187	23851
42	2239	23805
43	2289	23723
44	2338	23648
45	2399	23680
46	2450	23619
47	2513	23672
48	2561	23578
49	2609	23486
50	2657	23398
51	2706	23316
52	2756	23250
53	2804	23161
54	2854	23091
55	2902	23011
56	2950	22928
57	2999	22854
58	3051	22809
59	3118	22870
60	3170	22814
61	3231	22830
62	3280	22757
63	3330	22688
64	3378	22606
65	3425	22528
66	3475	22458
67	3523	22384
68	3576	22339
69	3626	22275
70	3673	22196
71	3723	22133
72	3771	22058
73	3818	21983
74	3868	21921
75	3925	21900
76	3973	21830
77	4022	21763
78	4074	21711
79	4123	21646
80	4174	21593
81	4221	21519
82	4270	21457
83	4319	21393
84	4367	21324
85	4416	21260
86	4463	21190
87	4513	21129
88	4563	21072
89	4628	21084
90	4678	21029
91	4745	21046
92	4797	20993
93	4845	20929
94	4892	20857
95	4939	20788
96	4989	20730
97	5041	20679
98	5093	20631
99	5144	20576
100	5193	20516
101	5242	20456
102	5300	20430
103	5367	20439
104	5430	20427
105	5490	20406
106	5542	20356
107	5595	20309
108	5643	20245
109	5692	20182
110	5740	20118
111	5790	20059
112	5840	20000
113	5890	19946
114	5939	19886
115	5988	19823
116	6047	19797
117	6101	19753
118	6149	19688
119	6199	19631
120	6247	19567
121	6294	19503
122	6343	19441
123	6392	19383
124	6442	19328
125	6492	19270
126	6540	19208
127	6589	19149
128	6638	19091
129	6685	19029
130	6734	18968
131	6784	18913
132	6846	18891
133	6900	18848
134	6967	18839
135	7018	18783
136	7068	18729
137	7120	18677
138	7169	18619
139	7217	18559
140	7266	18501
141	7318	18449
142	7365	18389
143	7413	18327
144	7461	18266
145	7526	18250
146	7577	18195
147	7631	18150
148	7699	18137
149	7752	18088
150	7799	18026
151	7846	17963
152	7907	17933
153	7958	17879
154	8009	17826
155	8058	17770
156	8109	17717
157	8162	17669
158	8211	17610
159	8259	17551
160	8312	17502
161	8363	17450
162	8411	17391
163	8459	17331
164	8508	17274
165	8556	17216
166	8608	17165
167	8657	17109
168	8705	17051
169	8754	16993
170	8804	16939
171	8851	16880
172	8913	16848
173	8966	16800
174	9030	16770
175	9085	16725
176	9144	16687
177	9202	16647
178	9252	16592
179	9305	16543
180	9355	16488
181	9403	16429
182	9460	16388
183	9510	16333
184	9560	16278
185	9608	16221
186	9657	16164
187	9705	16106
188	9769	16076
189	9822	16026
190	9877	15979
191	9934	15936
192	9982	15878
193	10034	15828
194	10086	15776
195	10134	15719
196	10183	15662
197	10230	15604
198	10280	15550
199	10328	15493
200	10376	15436
201	10425	15379
202	10472	15321
203	10521	15267
204	10570	15211
205	10620	15156
206	10670	15103
207	10720	15049
208	10767	14992
209	10819	14940
210	10869	14887
211	10917	14830
212	10965	14774
213	11014	14719
214	11062	14664
215	11115	14614
216	11163	14558
217	11210	14502
218	11275	14468
219	11326	14415
220	11392	14382
221	11442	14328
222	11493	14276
223	11542	14222
224	11592	14168
225	11640	14112
226	11688	14057
227	11737	14002
228	11784	13945
229	11832	13889
230	11879	13833
231	11939	13792
232	12009	13762
233	12065	13715
234	12135	13684
235	12187	13633
236	12236	13578
237	12286	13525
238	12335	13471
239	12385	13417
240	12433	13361
241	12481	13306
242	12529	13250
243	12577	13195
244	12625	13140
245	12672	13084
246	12720	13029
247	12774	12980
248	12826	12929
249	12875	12875
250	12923	12820
251	12972	12766
252	13023	12714
253	13075	12663
254	13127	12612
255	13177	12559
256	13225	12505
257	13276	12452
258	13324	12398
259	13373	12344
260	13421	12290
261	13471	12237
262	13534	12196
263	13591	12149
264	13654	12108
265	13704	12055
266	13751	12000
267	13798	11945
268	13847	11891
269	13896	11837
270	13944	11783
271	13998	11734
272	14048	11681
273	14097	11627
274	14145	11573
275	14206	11529
276	14256	11477
277	14314	11431
278	14374	11386
279	14425	11334
280	14475	11281
281	14524	11228
282	14572	11174
283	14619	11119
284	14675	11070
285	14724	11017
286	14785	10973
287	14834	10920
288	14884	10867
289	14933	10814
290	14980	10759
291	15047	10718
292	15103	10670
293	15153	10617
294	15201	10563
295	15253	10512
296	15305	10461
297	15358	10410
298	15406	10356
299	15455	10303
300	15510	10254
301	15558	10200
302	15608	10148
303	15656	10094
304	15720	10050
305	15774	10001
306	15837	9956
307	15889	9905
308	15939	9852
309	15987	9798
310	16041	9748
311	16095	9698
312	16144	9645
313	16192	9591
314	16241	9538
315	16290	9485
316	16339	9432
317	16398	9385
318	16452	9334
319	16513	9288
320	16561	9235
321	16613	9183
322	16659	9129
323	16707	9075
324	16757	9023
325	16804	8969
326	16853	8916
327	16901	8862
328	16957	8813
329	17009	8762
330	17062	8711
331	17114	8660
332	17162	8606
333	17211	8554
334	17259	8500
335	17314	8451
336	17362	8397
337	17409	8344
338	17457	8291
339	17508	8239
340	17557	8186
341	17604	8133
342	17652	8080
343	17701	8027
344	17748	7973
345	17802	7923
346	17850	7870
347	17899	7817
348	17949	7766
349	18014	7720
350	18069	7670
351	18132	7624
352	18182	7571
353	18229	7518
354	18276	7465
355	18328	7413
356	18379	7362
357	18428	7309
358	18477	7257
359	18525	7204
360	18572	7151
361	18623	7099
362	18689	7053
363	18743	7003
364	18809	6956
365	18857	6904
366	18907	6852
367	18954	6799
368	19007	6748
369	19067	6699
370	19116	6646
371	19167	6595
372	19216	6543
373	19265	6490
374	19313	6437
375	19364	6386
376	19412	6333
377	19468	6283
378	19525	6233
379	19577	6182
380	19633	6132
381	19684	6080
382	19735	6028
383	19784	5976
384	19836	5925
385	19885	5873
386	19935	5820
387	19983	5768
388	20033	5716
389	20084	5664
390	20143	5615
391	20205	5566
392	20262	5516
393	20315	5465
394	20372	5415
395	20419	5362
396	20472	5311
397	20522	5259
398	20569	5206
399	20618	5154
400	20668	5102
401	20716	5050
402	20764	4997
403	20815	4946
404	20876	4897
405	20934	4846
406	21001	4798
407	21054	4747
408	21111	4697
409	21163	4645
410	21210	4593
411	21259	4540
412	21307	4488
413	21354	4436
414	21404	4384
415	21460	4333
416	21511	4281
417	21563	4230
418	21613	4178
419	21671	4127
420	21721	4076
421	21771	4024
422	21822	3972
423	21873	3920
424	21923	3868
425	21978	3817
426	22026	3765
427	22085	3715
428	22140	3664
429	22191	3612
430	22242	3560
431	22296	3509
432	22350	3458
433	22408	3407
434	22471	3357
435	22529	3307
436	22588	3256
437	22637	3204
438	22685	3152
439	22733	3100
440	22789	3048
441	22839	2996
442	22885	2944
443	22934	2892
444	22982	2840
445	23030	2788
446	23084	2737
447	23155	2687
448	23211	2636
449	23283	2587
450	23333	2535
451	23380	2482
452	23431	2431
453	23479	2379
454	23528	2327
455	23583	2275
456	23639	2224
457	23688	2172
458	23737	2120
459	23786	2068
460	23833	2016
