region,state,zip3,Number of Records,postal_cd_key
Midwest,IA,500,1,50001
Midwest,IA,500,1,50002
Midwest,IA,500,1,50003
Midwest,IA,500,1,50005
Midwest,IA,500,1,50006
Midwest,IA,500,1,50007
Midwest,IA,500,1,50008
Midwest,IA,500,1,50009
Midwest,IA,500,1,50010
Midwest,IA,500,1,50011
Midwest,IA,500,1,50012
Midwest,IA,500,1,50013
Midwest,IA,500,1,50014
Midwest,IA,500,1,50020
Midwest,IA,500,1,50021
Midwest,IA,500,1,50022
Midwest,IA,500,1,50023
Midwest,IA,500,1,50025
Midwest,IA,500,1,50026
Midwest,IA,500,1,50027
Midwest,IA,500,1,50028
Midwest,IA,500,1,50029
Midwest,IA,500,1,50031
Midwest,IA,500,1,50032
Midwest,IA,500,1,50033
Midwest,IA,500,1,50034
Midwest,IA,500,1,50035
Midwest,IA,500,1,50036
Midwest,IA,500,1,50037
Midwest,IA,500,1,50038
Midwest,IA,500,1,50039
Midwest,IA,500,1,50040
Midwest,IA,500,1,50041
Midwest,IA,500,1,50042
Midwest,IA,500,1,50043
Midwest,IA,500,1,50044
Midwest,IA,500,1,50046
Midwest,IA,500,1,50047
Midwest,IA,500,1,50048
Midwest,IA,500,1,50049
Midwest,IA,500,1,50050
Midwest,IA,500,1,50051
Midwest,IA,500,1,50052
Midwest,IA,500,1,50054
Midwest,IA,500,1,50055
Midwest,IA,500,1,50056
Midwest,IA,500,1,50057
Midwest,IA,500,1,50058
Midwest,IA,500,1,50059
Midwest,IA,500,1,50060
Midwest,IA,500,1,50061
Midwest,IA,500,1,50062
Midwest,IA,500,1,50063
Midwest,IA,500,1,50064
Midwest,IA,500,1,50065
Midwest,IA,500,1,50066
Midwest,IA,500,1,50067
Midwest,IA,500,1,50068
Midwest,IA,500,1,50069
Midwest,IA,500,1,50070
Midwest,IA,500,1,50071
Midwest,IA,500,1,50072
Midwest,IA,500,1,50073
Midwest,IA,500,1,50074
Midwest,IA,500,1,50075
Midwest,IA,500,1,50076
Midwest,IA,500,1,50078
Midwest,IA,500,1,50099
Midwest,IA,501,1,50101
Midwest,IA,501,1,50102
Midwest,IA,501,1,50103
Midwest,IA,501,1,50104
Midwest,IA,501,1,50105
Midwest,IA,501,1,50106
Midwest,IA,501,1,50107
Midwest,IA,501,1,50108
Midwest,IA,501,1,50109
Midwest,IA,501,1,50110
Midwest,IA,501,1,50111
Midwest,IA,501,1,50112
Midwest,IA,501,1,50115
Midwest,IA,501,1,50116
Midwest,IA,501,1,50117
Midwest,IA,501,1,50118
Midwest,IA,501,1,50119
Midwest,IA,501,1,50120
Midwest,IA,501,1,50122
Midwest,IA,501,1,50123
Midwest,IA,501,1,50124
Midwest,IA,501,1,50125
Midwest,IA,501,1,50126
Midwest,IA,501,1,50127
Midwest,IA,501,1,50128
Midwest,IA,501,1,50129
Midwest,IA,501,1,50130
Midwest,IA,501,1,50131
Midwest,IA,501,1,50132
Midwest,IA,501,1,50133
Midwest,IA,501,1,50134
Midwest,IA,501,1,50135
Midwest,IA,501,1,50136
Midwest,IA,501,1,50137
Midwest,IA,501,1,50138
Midwest,IA,501,1,50139
Midwest,IA,501,1,50140
Midwest,IA,501,1,50141
Midwest,IA,501,1,50142
Midwest,IA,501,1,50143
Midwest,IA,501,1,50144
Midwest,IA,501,1,50145
Midwest,IA,501,1,50146
Midwest,IA,501,1,50147
Midwest,IA,501,1,50148
Midwest,IA,501,1,50149
Midwest,IA,501,1,50150
Midwest,IA,501,1,50151
Midwest,IA,501,1,50152
Midwest,IA,501,1,50153
Midwest,IA,501,1,50154
Midwest,IA,501,1,50155
Midwest,IA,501,1,50156
Midwest,IA,501,1,50157
Midwest,IA,501,1,50158
Midwest,IA,501,1,50160
Midwest,IA,501,1,50161
Midwest,IA,501,1,50162
Midwest,IA,501,1,50163
Midwest,IA,501,1,50164
Midwest,IA,501,1,50165
Midwest,IA,501,1,50166
Midwest,IA,501,1,50167
Midwest,IA,501,1,50168
Midwest,IA,501,1,50169
Midwest,IA,501,1,50170
Midwest,IA,501,1,50171
Midwest,IA,501,1,50173
Midwest,IA,501,1,50174
Midwest,IA,502,1,50201
Midwest,IA,502,1,50206
Midwest,IA,502,1,50207
Midwest,IA,502,1,50208
Midwest,IA,502,1,50210
Midwest,IA,502,1,50211
Midwest,IA,502,1,50212
Midwest,IA,502,1,50213
Midwest,IA,502,1,50214
Midwest,IA,502,1,50216
Midwest,IA,502,1,50217
Midwest,IA,502,1,50218
Midwest,IA,502,1,50219
Midwest,IA,502,1,50220
Midwest,IA,502,1,50222
Midwest,IA,502,1,50223
Midwest,IA,502,1,50225
Midwest,IA,502,1,50226
Midwest,IA,502,1,50227
Midwest,IA,502,1,50228
Midwest,IA,502,1,50229
Midwest,IA,502,1,50230
Midwest,IA,502,1,50231
Midwest,IA,502,1,50232
Midwest,IA,502,1,50233
Midwest,IA,502,1,50234
Midwest,IA,502,1,50235
Midwest,IA,502,1,50236
Midwest,IA,502,1,50237
Midwest,IA,502,1,50238
Midwest,IA,502,1,50239
Midwest,IA,502,1,50240
Midwest,IA,502,1,50241
Midwest,IA,502,1,50242
Midwest,IA,502,1,50243
Midwest,IA,502,1,50244
